Date,Prime Rate,Bank of Canada Overnight Rate
Jan-81,18.25,16.89
Feb-81,18.25,16.34
Mar-81,17.75,17.15
Apr-81,18.25,18.81
May-81,19.5,18.82
Jun-81,20,19.64
Jul-81,21,20.78
Aug-81,22.75,19.38
Sep-81,21.25,18.05
Oct-81,20,15.15
Nov-81,17.25,14.41
Dec-81,17.25,14.47
Jan-82,16.5,14.49
Feb-82,16.5,14.86
Mar-82,17,15.07
Apr-82,17,15.07
May-82,17,16.33
Jun-82,18.25,15.35
Jul-82,17.25,14.01
Aug-82,16,12.93
Sep-82,15,11.28
Oct-82,13.75,10.62
Nov-82,13,10.01
Dec-82,12.5,9.56
Jan-83,12,9.18
Feb-83,11.5,9.17
Mar-83,11.5,9.21
Apr-83,11,9.13
May-83,11,9.17
Jun-83,11,9.26
Jul-83,11,9.32
Aug-83,11,9.27
Sep-83,11,9.2
Oct-83,11,9.38
Nov-83,11,9.79
Dec-83,11,9.73
Jan-84,11,9.79
Feb-84,11,10.51
Mar-84,11.5,10.57
Apr-84,11.5,11.35
May-84,12,11.73
Jun-84,12.5,12.99
Jul-84,13.5,12.14
Aug-84,13,12.03
Sep-84,13,11.46
Oct-84,12.5,10.53
Nov-84,12,9.91
Dec-84,11.25,9.41
Jan-85,11,10.7
Feb-85,11.5,10.93
Mar-85,11.75,9.5
Apr-85,10.75,9.34
May-85,10.5,9.32
Jun-85,10.5,9.06
Jul-85,10.5,8.95
Aug-85,10.25,9.06
Sep-85,10.25,8.52
Oct-85,10,8.73
Nov-85,10,9.24
Dec-85,10,10.08
Jan-86,11,11.59
Feb-86,13,10.19
Mar-86,12,9.02
Apr-86,11.25,8.18
May-86,10.25,8.59
Jun-86,10.25,8.38
Jul-86,9.75,8.33
Aug-86,9.75,8.38
Sep-86,9.75,8.37
Oct-86,9.75,8.22
Nov-86,9.75,8.24
Dec-86,9.75,7.49
Jan-87,9.25,7.34
Feb-87,9.25,6.89
Mar-87,8.75,8.01
Apr-87,9.25,8.29
May-87,9.5,8.34
Jun-87,9.5,8.51
Jul-87,9.5,8.99
Aug-87,10,9.32
Sep-87,10,8.01
Oct-87,9.75,8.23
Nov-87,9.75,8.41
Dec-87,9.75,8.38
Jan-88,9.75,8.33
Feb-88,9.75,8.53
Mar-88,9.75,8.81
Apr-88,10.25,8.87
May-88,10.25,9.19
Jun-88,10.75,9.28
Jul-88,10.75,9.78
Aug-88,11.25,10.29
Sep-88,11.75,10.26
Oct-88,11.75,10.59
Nov-88,11.75,10.92
Dec-88,12.25,11.29
Jan-89,12.25,11.45
Feb-89,12.75,12.15
Mar-89,13.5,12.36
Apr-89,13.5,12.15
May-89,13.5,12.06
Jun-89,13.5,12.07
Jul-89,13.5,12.15
Aug-89,13.5,12.22
Sep-89,13.5,12.18
Oct-89,13.5,12.22
Nov-89,13.5,12.22
Dec-89,13.5,12.04
Jan-90,13.5,13
Feb-90,14.25,13.13
Mar-90,14.25,13.52
Apr-90,14.75,13.8
May-90,14.75,13.65
Jun-90,14.75,13.34
Jul-90,14.75,12.76
Aug-90,14.25,12.36
Sep-90,13.75,12.41
Oct-90,13.75,12
Nov-90,13.25,11.53
Dec-90,12.75,10.63
Jan-91,12.25,9.77
Feb-91,11.25,9.67
Mar-91,11.25,9.41
Apr-91,10.25,8.82
May-91,9.75,8.66
Jun-91,9.75,8.69
Jul-91,9.75,8.55
Aug-91,9.75,8.43
Sep-91,9.5,7.92
Oct-91,8.75,7.44
Nov-91,8.5,7.42
Dec-91,8,6.83
Jan-92,7.5,7.31
Feb-92,7.5,7.4
Mar-92,8.25,6.6
Apr-92,7.75,6.25
May-92,7.5,5.66
Jun-92,7,5.25
Jul-92,6.75,4.86
Aug-92,6.5,5.44
Sep-92,6.25,7.12
Oct-92,7.75,8.57
Nov-92,9.75,7.11
Dec-92,7.25,6.56
Jan-93,6.75,5.84
Feb-93,6.5,5.11
Mar-93,6,5.35
Apr-93,6,4.85
May-93,6,4.54
Jun-93,6,4.16
Jul-93,5.75,4.65
Aug-93,5.75,4.65
Sep-93,5.75,4.38
Oct-93,5.75,4.11
Nov-93,5.5,3.86
Dec-93,5.5,3.63
Jan-94,5.5,3.85
Feb-94,5.5,5.39
Mar-94,6.25,5.82
Apr-94,6.75,6.06
May-94,6.75,6.67
Jun-94,8,5.79
Jul-94,7.5,5.35
Aug-94,7.25,5.29
Sep-94,7,5.37
Oct-94,7,5.79
Nov-94,7,7.18
Dec-94,8,8.13
Jan-95,9.25,8.13
Feb-95,9.25,8.22
Mar-95,9.75,7.92
Apr-95,9.75,7.39
May-95,9.25,6.72
Jun-95,8.75,6.62
Jul-95,8.25,6.34
Aug-95,8,6.46
Sep-95,8,7.4
Oct-95,7.75,5.82
Nov-95,7.75,5.54
Dec-95,7.5,5.12
Jan-96,7.25,5.25
Feb-96,7,5
Mar-96,6.75,4.75
Apr-96,6.5,4.75
May-96,6.5,4.75
Jun-96,6.5,4.5
Jul-96,6.25,4
Aug-96,5.75,4
Sep-96,5.75,3.25
Oct-96,5,3
Nov-96,4.75,3
Dec-96,4.75,3
Jan-97,4.75,3
Feb-97,4.75,3
Mar-97,4.75,3
Apr-97,4.75,3
May-97,4.75,3
Jun-97,4.75,3.25
Jul-97,4.75,3.25
Aug-97,4.75,3.25
Sep-97,4.75,3.5
Oct-97,5.25,3.75
Nov-97,5.5,4.25
Dec-97,6,4.25
Jan-98,6,4.75
Feb-98,6.5,4.75
Mar-98,6.5,4.75
Apr-98,6.5,4.75
May-98,6.5,4.75
Jun-98,6.5,4.75
Jul-98,6.5,4.75
Aug-98,6.5,5.5
Sep-98,7.25,5.25
Oct-98,7,5
Nov-98,6.75,5
Dec-98,6.75,5
Jan-99,6.75,5
Feb-99,6.75,4.75
Mar-99,6.75,4.75
Apr-99,6.5,4.5
May-99,6.25,4.5
Jun-99,6.25,4.5
Jul-99,6.25,4.5
Aug-99,6.25,4.5
Sep-99,6.25,4.5
Oct-99,6.25,4.75
Nov-99,6.5,4.75
Dec-99,6.5,4.75
Jan-00,6.5,4.75
Feb-00,6.75,4.75
Mar-00,7,4.75
Apr-00,7,4.75
May-00,7.5,4.75
Jun-00,7.5,4.75
Jul-00,7.5,4.75
Aug-00,7.5,4.75
Sep-00,7.5,4.75
Oct-00,7.5,4.75
Nov-00,7.5,4.75
Dec-00,7.5,5.75
Jan-01,7.25,5.5
Feb-01,7.25,5.5
Mar-01,6.75,5
Apr-01,6.5,4.75
May-01,6.25,4.5
Jun-01,6.25,4.5
Jul-01,6,4.25
Aug-01,5.75,4
Sep-01,5.25,3.5
Oct-01,4.5,2.75
Nov-01,4,2.25
Dec-01,4,2.25
Jan-02,3.75,2
Feb-02,3.75,2
Mar-02,3.75,2
Apr-02,4,2.25
May-02,4,2.25
Jun-02,4.25,2.5
Jul-02,4.5,2.75
Aug-02,4.5,2.75
Sep-02,4.5,2.75
Oct-02,4.5,2.75
Nov-02,4.5,2.75
Dec-02,4.5,2.75
Jan-03,4.5,2.75
Feb-03,4.5,2.75
Mar-03,4.75,3
Apr-03,5,3.25
May-03,5,3.25
Jun-03,5,3.25
Jul-03,4.75,3
Aug-03,4.75,3
Sep-03,4.5,2.75
Oct-03,4.5,2.75
Nov-03,4.5,2.75
Dec-03,4.5,2.75
Jan-04,4.25,2.5
Feb-04,4.25,2.5
Mar-04,4,2.25
Apr-04,3.75,2
May-04,3.75,2
Jun-04,3.75,2
Jul-04,3.75,2
Aug-04,3.75,2
Sep-04,4,2.25
Oct-04,4.25,2.5
Nov-04,4.25,2.5
Dec-04,4.25,2.5
Jan-05,4.25,2.5
Feb-05,4.25,2.5
Mar-05,4.25,2.5
Apr-05,4.25,2.5
May-05,4.25,2.5
Jun-05,4.25,2.5
Jul-05,4.25,2.5
Aug-05,4.25,2.5
Sep-05,4.5,2.75
Oct-05,4.75,3
Nov-05,4.75,3
Dec-05,5,3.25
Jan-06,5.25,3.5
Feb-06,5.25,3.5
Mar-06,5.5,3.75
Apr-06,5.75,4
May-06,6,4.25
Jun-06,6,4.25
Jul-06,6,4.25
Aug-06,6,4.25
Sep-06,6,4.25
Oct-06,6,4.25
Nov-06,6,4.25
Dec-06,6,4.25
Jan-07,6,4.25
Feb-07,6,4.25
Mar-07,6,4.25
Apr-07,6,4.25
May-07,6,4.25
Jun-07,6,4.25
Jul-07,6.25,4.5
Aug-07,6.25,4.5
Sep-07,6.25,4.5
Oct-07,6.25,4.5
Nov-07,6.25,4.5
Dec-07,6,4.25
Jan-08,5.75,4
Feb-08,5.75,4
Mar-08,5.25,3.5
Apr-08,4.75,3
May-08,4.75,3
Jun-08,4.75,3
Jul-08,4.75,3
Aug-08,4.75,3
Sep-08,4.75,3
Oct-08,4,2.25
Nov-08,4,2.25
Dec-08,3.5,1.5
Jan-09,3,1
Feb-09,3,1
Mar-09,2.5,0.5
Apr-09,2.25,0.25
May-09,2.25,0.25
Jun-09,2.25,0.25
Jul-09,2.25,0.25
Aug-09,2.25,0.25
Sep-09,2.25,0.25
Oct-09,2.25,0.25
Nov-09,2.25,0.25
Dec-09,2.25,0.25
Jan-10,2.25,0.25
Feb-10,2.25,0.25
Mar-10,2.25,0.25
Apr-10,2.25,0.25
May-10,2.25,0.5
Jun-10,2.5,0.5
Jul-10,2.75,0.75
Aug-10,2.75,0.75
Sep-10,3,1
Oct-10,3,1
Nov-10,3,1
Dec-10,3,1
Jan-11,3,1
Feb-11,3,1
Mar-11,3,1
Apr-11,3,1
May-11,3,1
Jun-11,3,1
Jul-11,3,1
Aug-11,3,1
Sep-11,3,1
Oct-11,3,1
Nov-11,3,1
Dec-11,3,1
Jan-12,3,1
Feb-12,3,1
Mar-12,3,1
Apr-12,3,1
May-12,3,1
Jun-12,3,1
Jul-12,3,1
Aug-12,3,1
Sep-12,3,1
Oct-12,3,1
Nov-12,3,1
Dec-12,3,1
Jan-13,3,1
Feb-13,3,1
Mar-13,3,1
Apr-13,3,1
May-13,3,1
Jun-13,3,1
Jul-13,3,1
Aug-13,3,1
Sep-13,3,1
Oct-13,3,1
Nov-13,3,1
Dec-13,3,1
Jan-14,3,1
Feb-14,3,1
Mar-14,3,1
Apr-14,3,1
May-14,3,1
Jun-14,3,1
Jul-14,3,1
Aug-14,3,1
Sep-14,3,1
Oct-14,3,1
Nov-14,3,1
Dec-14,3,1
Jan-15,2.85,0.75
Feb-15,2.85,0.75
Mar-15,2.85,0.75
Apr-15,2.85,0.75
May-15,2.85,0.75
Jun-15,2.85,0.75
Jul-15,2.7,0.5
Aug-15,2.7,0.5
Sep-15,2.7,0.5
Oct-15,2.7,0.5
Nov-15,2.7,0.5
Dec-15,2.7,0.5
Jan-16,2.7,0.5
Feb-16,2.7,0.5
Mar-16,2.7,0.5
Apr-16,2.7,0.5
May-16,2.7,0.5
Jun-16,2.7,0.5
Jul-16,2.7,0.5
Aug-16,2.7,0.5
Sep-16,2.7,0.5
Oct-16,2.7,0.5
Nov-16,2.7,0.5
Dec-16,2.7,0.5
Jan-17,2.7,0.5
Feb-17,2.7,0.5
Mar-17,2.7,0.5
Apr-17,2.7,0.5
May-17,2.7,0.5
Jun-17,2.7,0.5
Jul-17,2.95,0.75
Aug-17,2.95,0.75
Sep-17,3.2,1
Oct-17,3.2,1
Nov-17,3.2,1
Dec-17,3.2,1
Jan-18,3.45,1.25
Feb-18,3.45,1.25
Mar-18,3.45,1.25
Apr-18,3.45,1.25
May-18,3.45,1.25
Jun-18,3.45,1.25
Jul-18,3.7,1.5
Aug-18,3.7,1.5
Sep-18,3.7,1.5
Oct-18,3.95,1.75
Nov-18,3.95,1.75
Dec-18,3.95,1.75
Jan-19,3.95,1.75
Feb-19,3.95,1.75
Mar-19,3.95,1.75
Apr-19,3.95,1.75
May-19,3.95,1.75
Jun-19,3.95,1.75
Jul-19,3.95,1.75
Aug-19,3.95,1.75
Sep-19,3.95,1.75
Oct-19,3.95,1.75
Nov-19,3.95,1.75
Dec-19,3.95,1.75
Jan-20,3.95,1.75
Feb-20,3.95,1.75
Mar-20,2.45,0.25
Apr-20,2.45,0.25
May-20,2.45,0.25
Jun-20,2.45,0.25
Jul-20,2.45,0.25
Aug-20,2.45,0.25
Sep-20,2.45,0.25
Oct-20,2.45,0.25
Nov-20,2.45,0.25
Dec-20,2.45,0.25
Jan-21,2.45,0.25
Feb-21,2.45,0.25
Mar-21,2.45,0.25
Apr-21,2.45,0.25
May-21,2.45,0.25
Jun-21,2.45,0.25
Jul-21,2.45,0.25
